路線,路線名稱,方向,站序,中文站點名稱,英文站點名稱,經度,緯度
綠1,松竹旱溪西路口 - 仁友停車場,回程,12,學田活動中心,Xuetian Actirity Center,120.607148,24.122487
綠1,松竹旱溪西路口 - 仁友停車場,回程,13,學田診所,Xuetian Clinic,120.607674,24.120538
綠1,松竹旱溪西路口 - 仁友停車場,回程,14,幸記公司,Lucky Company,120.607883,24.118105
綠1,松竹旱溪西路口 - 仁友停車場,回程,15,高鐵學田路口,Gaotie-Xuetian Intersection,120.608023,24.113233
綠1,松竹旱溪西路口 - 仁友停車場,回程,16,高鐵一路,Gaotie 1st Road,120.609684,24.111345
綠1,松竹旱溪西路口 - 仁友停車場,回程,17,捷運高鐵臺中站（2號出口）,MRT HSR Taichung Station(Exit 2),120.613298,24.110306
綠1,松竹旱溪西路口 - 仁友停車場,回程,18,高鐵臺中站(第16月台),HSR Taichung Station(Platform 16),120.615897,24.111169
綠1,松竹旱溪西路口 - 仁友停車場,回程,19,捷運烏日站,MRT Wuri Station,120.626128,24.108618
綠1,松竹旱溪西路口 - 仁友停車場,回程,20,建國民生街口,Jianguo-Minsheng Intersection,120.628455,24.108728
綠1,松竹旱溪西路口 - 仁友停車場,回程,21,建國永春東三南路口,Jianguo Yongchun E. 3rd S. Intersection,120.63104,24.109338
綠1,松竹旱溪西路口 - 仁友停車場,回程,22,捷運九德站,MRT Jiude Station,120.63428,24.110753
綠1,松竹旱溪西路口 - 仁友停車場,回程,23,捷運九張犁站,MRT Jiuzhangli Station,120.640521,24.114634
綠1,松竹旱溪西路口 - 仁友停車場,回程,24,捷運大慶站(建國北路),MRT Daqing Station(Jianguo N. Road),120.648876,24.11984
綠1,松竹旱溪西路口 - 仁友停車場,回程,25,中山醫學大學,Chung Shan Medical University,120.6489,24.122443
綠1,松竹旱溪西路口 - 仁友停車場,回程,26,文心南三民西路口,Wenxin S.-Sanmin W. Intersection,120.646475,24.126447
綠1,松竹旱溪西路口 - 仁友停車場,回程,27,豐樂公園,Fengle Sculpture Park,120.6465803,24.13017567
綠1,松竹旱溪西路口 - 仁友停車場,回程,28,捷運豐樂公園站(文心南路),MRT Feng-Le Park Station(Wenxin S. Road),120.6466459,24.13373954
綠1,松竹旱溪西路口 - 仁友停車場,回程,29,永春國小,Yong-Chun Elementary School,120.647357,24.134651
綠1,松竹旱溪西路口 - 仁友停車場,回程,30,清真寺(大墩南路),Mosque(Dadun S. Road),120.6499983,24.13607667
綠1,松竹旱溪西路口 - 仁友停車場,回程,31,大墩五權西路口,Dadun-Wuquan W. Intersection,120.649958,24.138917
綠1,松竹旱溪西路口 - 仁友停車場,回程,32,大進市場,Dajin Market,120.649946,24.142022
綠1,松竹旱溪西路口 - 仁友停車場,回程,33,大墩向上南路口,Dadun-Xiangshang S. Intersection,120.6498917,24.14537333
綠1,松竹旱溪西路口 - 仁友停車場,回程,34,萬壽棒球場(大墩路),Wanshou Baseball Stadium(Dadun Road),120.649893,24.147203
綠1,松竹旱溪西路口 - 仁友停車場,回程,35,大墩十二街口,Dadun 12th Street,120.649855,24.149298
綠1,松竹旱溪西路口 - 仁友停車場,回程,36,大墩公益路口,Dadun Gongyi Intersection,120.649833,24.151244
綠1,松竹旱溪西路口 - 仁友停車場,回程,37,大業大墩路口,Daye-Dadun Intersection,120.649318,24.153611
綠1,松竹旱溪西路口 - 仁友停車場,回程,38,文心市政路口,Wenxin-Shizheng Intersection,120.6469582,24.15460754
綠1,松竹旱溪西路口 - 仁友停車場,回程,39,中央健保署(文心路),NHI Administration(Wenxin Road),120.6468936,24.15752403
綠1,松竹旱溪西路口 - 仁友停車場,回程,40,文心第二市政大樓,Wenxin Second Municipal Building,120.6476067,24.15939233
綠1,松竹旱溪西路口 - 仁友停車場,回程,41,捷運市政府站(文心路),MRT Taichung City Hall Station(Wenxin Road),120.6485617,24.1609165
綠1,松竹旱溪西路口 - 仁友停車場,回程,42,文心四川路口,Wenxin-Sichuan Intersection,120.6505962,24.16385038
綠1,松竹旱溪西路口 - 仁友停車場,回程,43,文心青海路口,Wenxin-Qinghai Intersection,120.6512562,24.16489213
綠1,松竹旱溪西路口 - 仁友停車場,回程,44,文心西屯路口,Wenxin-Xitun Intersection,120.652379,24.166256
綠1,松竹旱溪西路口 - 仁友停車場,回程,45,捷運文心櫻花站(文心路),MRT Wenxin Yinghua Station(Wenxin Road),120.654181,24.167837
綠1,松竹旱溪西路口 - 仁友停車場,回程,46,文心甘肅路口,Wenxin-Gansu Intersection,120.6560299,24.16931777
